target_text,input_text
"fifty lakh, ninety-two thousand, two hundred and eighty","fifty lakh, ninety-two thausand, two hundred and eighty"
"fifty lakh, ninety-two thousand, two hundred and eighty","fiftylakh,ninety-twothousand,twohundredandeighty"
"fifty lakh, ninety-two thousand, two hundred and eighty","fifty lakh, ninety-two thousand, two hundred and eight kind y"
"fifty-one lakh, twenty thousand, nine hundred and thirty-seven","fifty-one lakhi twenty thousand, nine hundred and thirty-seven"
"fifty-one lakh, twenty thousand, nine hundred and thirty-seven","fifty-one lakh, twenty thousand, nine hundred and thirty-sevens"
"fifty-one lakh, twenty thousand, nine hundred and thirty-seven","fifty-one lakh, twenty thousand, nine hundred & thirty-seven"
"fifty-one lakh, twenty thousand, nine hundred and thirty-seven","fifty-one lakh, twenty thou term sand, nine hundred and thirty-seven"
"fifty-four lakh, eighty-three thousand, seven hundred and twenty-four","fifty-four lakh, eighty-three thousand, seven hundaed and twenty-four"
"fifty-four lakh, eighty-three thousand, seven hundred and twenty-four","fifty-four lakh, eighty-three thousand, seven hundred and twenty-fours"
"fifty-four lakh, eighty-three thousand, seven hundred and twenty-four","fifty-fourlakh,eighty-threethousand,sevenhundredandtwenty-four"
"fifty-four lakh, eighty-three thousand, seven hundred and twenty-four","fifty-four lakh, eighty-three thousand, seven hundred and twen I ty-four"
"sixty-three lakh, twenty-eight thousand, four hundred and ninety-six","suxty-three lakh, twenty-eight thousand, four hundred and ninety-six"
"sixty-three lakh, twenty-eight thousand, four hundred and ninety-six","sixty-three lakh, twenty-eight thousand, four hundred and ninety-sixs"
"sixty-three lakh, twenty-eight thousand, four hundred and ninety-six","sixty-threelakh,twenty-eightthousand,fourhundredandninety-six"
"sixty-three lakh, twenty-eight thousand, four hundred and ninety-six","sixty-three lakh, twenty-eight thousand, four  trip hundred and ninety-six"
"sixty-four lakh, twenty-one thousand, six hundred and forty-four","sixty-four lakh, twenty-one teousand, six hundred and forty-four"
"sixty-four lakh, twenty-one thousand, six hundred and forty-four","sixty-four lakh, twenty-one thousand, six hundred and forty-fours"
"sixty-four lakh, twenty-one thousand, six hundred and forty-four","sixty-four lakh, twenty-one thousand, six hundred & forty-four"
"sixty-four lakh, twenty-one thousand, six hundred and forty-four","si trade xty-four lakh, twenty-one thousand, six hundred and forty-four"
"seventy-two lakh, twenty-one thousand, three hundred and fifteen","seventy-two l1kh, twenty-one thousand, three hundred and fifteen"
"seventy-two lakh, twenty-one thousand, three hundred and fifteen","seventy-two lakh, twenty-one thousand, three hunderd and fifteen"
"seventy-two lakh, twenty-one thousand, three hundred and fifteen","seventy-two lakh, twenty-one thousand, three hundred & fifteen"
"seventy-two lakh, twenty-one thousand, three hundred and fifteen","seventy-two lakh, twenty-one thousand, three hundred hot  and fifteen"
"seventy-four lakh, forty-three thousand, three hundred and forty-two","seventy-four lakh, forty-thre1 thousand, three hundred and forty-two"
"seventy-four lakh, forty-three thousand, three hundred and forty-two","seventy-four lakh, forty-three thousand, three hunderd and forty-two"
"seventy-four lakh, forty-three thousand, three hundred and forty-two","seventy-four lakh, forty-three thousand, three hundred & forty-two"
"seventy-four lakh, forty-three thousand, three hundred and forty-two","seventy-four lakh, forty-three thousand, three hundred a where nd forty-two"
"seventy-eight lakh, fifty-one thousand, six hundred and seventy","seventy-eight lakh, fifty-one thousand, six hunered and seventy"
"seventy-eight lakh, fifty-one thousand, six hundred and seventy","seventy-eight lakh, fifty-one thausand, six hundred and seventy"
"seventy-eight lakh, fifty-one thousand, six hundred and seventy","seventy-eight lakh, fifty-one thousand, six hundred & seventy"
"seventy-eight lakh, fifty-one thousand, six hundred and seventy","seventy-eight lakh, fifty-one thousand, six hundred and save  seventy"
"eighty-three lakh, ninety-nine thousand, four hundred and ninety-three","eighty-three lakh, ninety-nine thousand, four hundred aid ninety-three"
"eighty-three lakh, ninety-nine thousand, four hundred and ninety-three","eighty-three lakh, ninety-nine thousand, four hundred and ninety-three"
"eighty-three lakh, ninety-nine thousand, four hundred and ninety-three","eighty-threelakh,ninety-ninethousand,fourhundredandninety-three"
"eighty-three lakh, ninety-nine thousand, four hundred and ninety-three","eighty-three lakh, ninety-nine thousand capital , four hundred and ninety-three"
"eighty-nine lakh, sixty-nine thousand, four hundred and ninety-eight","eighty-nine lakh, sixty-nine thousand, four hundrad and ninety-eight"
"eighty-nine lakh, sixty-nine thousand, four hundred and ninety-eight","eighty-nine lakh, sixty-nine thousand, four hundred and ninety-eight"
"eighty-nine lakh, sixty-nine thousand, four hundred and ninety-eight","eighty-ninelakh,sixty-ninethousand,fourhundredandninety-eight"
"eighty-nine lakh, sixty-nine thousand, four hundred and ninety-eight","eighty-nine lakh, debate  sixty-nine thousand, four hundred and ninety-eight"
"ninety-six lakh, twenty-nine thousand and thirty-three","ninety-six lakh, twenty-nine thousand and thirty-0hree"
"ninety-six lakh, twenty-nine thousand and thirty-three","ninety-six lakh, twenty-nine thousand and thirty-three"
"ninety-six lakh, twenty-nine thousand and thirty-three","ninety-six lakh, twenty-nine thousand & thirty-three"
"ninety-six lakh, twenty-nine thousand and thirty-three","ninety-six lakh, t activity wenty-nine thousand and thirty-three"
"one crore, five lakh, one thousand, nine hundred and forty-nine","one crore, five lakh, one thousand, nine hundred1and forty-nine"
"one crore, five lakh, one thousand, nine hundred and forty-nine","one crore, five lakh, one thousand, nine hundred and forty-nines"
"one crore, five lakh, one thousand, nine hundred and forty-nine","one crore, five lakh, one thousand, nine hundred & forty-nine"
"one crore, five lakh, one thousand, nine hundred and forty-nine","one crore, five lakh, one thousand, nature  nine hundred and forty-nine"
"one crore, thirteen lakh, ninety-two thousand, two hundred and eighty-four","one crore,1thirteen lakh, ninety-two thousand, two hundred and eighty-four"
"one crore, thirteen lakh, ninety-two thousand, two hundred and eighty-four","one crore, thirteen lakh, ninety-two thousand, two hundred and eighty-fours"
"one crore, thirteen lakh, ninety-two thousand, two hundred and eighty-four","one crore, thirteen lakh, ninety-two thousand, two hundred & eighty-four"
"one crore, thirteen lakh, ninety-two thousand, two hundred and eighty-four","one crore, thirteen lakh, ninety policy -two thousand, two hundred and eighty-four"
"one crore, fourteen lakh, thirty-seven thousand, one hundred and eighty-seven","one crooe, fourteen lakh, thirty-seven thousand, one hundred and eighty-seven"
"one crore, fourteen lakh, thirty-seven thousand, one hundred and eighty-seven","one crore, fourteen lakh, thirty-seven thousand, one hundred and eighty-seven"
"one crore, fourteen lakh, thirty-seven thousand, one hundred and eighty-seven","onecrore,fourteenlakh,thirty-seventhousand,onehundredandeighty-seven"
"one crore, fourteen lakh, thirty-seven thousand, one hundred and eighty-seven","one crore, fourteen lakh, thirty-seven thousand, one hundred and lot  eighty-seven"
"one crore, sixteen lakh, seventy thousand, eight hundred and thirty-four","one crore, sixteen lakh, seventy thousand, eight hundred and thirty-four"
"one crore, sixteen lakh, seventy thousand, eight hundred and thirty-four","one crore, sixteen lakh, seventy thausand, eight hundred and thirty-four"
"one crore, sixteen lakh, seventy thousand, eight hundred and thirty-four","one crore, sixteen lakh, seventy thousand, eight hundred & thirty-four"
"one crore, sixteen lakh, seventy thousand, eight hundred and thirty-four","one crore food , sixteen lakh, seventy thousand, eight hundred and thirty-four"
"one crore, twenty-two lakh, seventy-seven thousand and thirty-four","one crore, twenty-two lakh, seventy-seven thousand and thirti-four"
"one crore, twenty-two lakh, seventy-seven thousand and thirty-four","one crore, twenty-two lakh, seventy-seven thausand and thirty-four"
"one crore, twenty-two lakh, seventy-seven thousand and thirty-four","one crore, twenty-two lakh, seventy-seven thousand & thirty-four"
"one crore, twenty-two lakh, seventy-seven thousand and thirty-four","one crore, twenty-two lakh, seventy-seven thousand and thirty-fou investment r"
"one crore, twenty-seven lakh, one thousand, seven hundred and seventy-seven","one crore, twenty-seven oakh, one thousand, seven hundred and seventy-seven"
"one crore, twenty-seven lakh, one thousand, seven hundred and seventy-seven","one crore, twenty-seven lakh, one thousand, seven hundred and seventy-seven"
"one crore, twenty-seven lakh, one thousand, seven hundred and seventy-seven","onecrore,twenty-sevenlakh,onethousand,sevenhundredandseventy-seven"
"one crore, twenty-seven lakh, one thousand, seven hundred and seventy-seven","one c case rore, twenty-seven lakh, one thousand, seven hundred and seventy-seven"
"one crore, twenty-eight lakh, eighty-two thousand, seven hundred and twenty-two","one crore, twenty-eight lakh, eighty-two 0housand, seven hundred and twenty-two"
"one crore, twenty-eight lakh, eighty-two thousand, seven hundred and twenty-two","one crore, twenty-eight lakh, eighty-two thausand, seven hundred and twenty-two"
"one crore, twenty-eight lakh, eighty-two thousand, seven hundred and twenty-two","one crore, twenty-eight lakh, eighty-two thousand, seven hundred & twenty-two"
"one crore, twenty-eight lakh, eighty-two thousand, seven hundred and twenty-two","one  perform crore, twenty-eight lakh, eighty-two thousand, seven hundred and twenty-two"
"one crore, thirty lakh, sixty-one thousand, nine hundred and eleven","one crore, thirty lakh, sixty-one thausand, nine hundred and eleven"
"one crore, thirty lakh, sixty-one thousand, nine hundred and eleven","one crore, thirty lakh, sixty-one thousand, nine hunderd and eleven"
"one crore, thirty lakh, sixty-one thousand, nine hundred and eleven","one crore, thirty lakh, sixty-one thousand, nine hundred & eleven"
"one crore, thirty lakh, sixty-one thousand, nine hundred and eleven","one c nothing rore, thirty lakh, sixty-one thousand, nine hundred and eleven"
"one crore, thirty-eight lakh, seventy-five thousand, nine hundred and thirty-seven","one crore, thirty-eight lakh,oseventy-five thousand, nine hundred and thirty-seven"
"one crore, thirty-eight lakh, seventy-five thousand, nine hundred and thirty-seven","one crore, thirty-eight lakh, seventy-five thausand, nine hundred and thirty-seven"
"one crore, thirty-eight lakh, seventy-five thousand, nine hundred and thirty-seven","one crore, thirty-eight lakh, seventy-five thousand, nine hundred & thirty-seven"
"one crore, thirty-eight lakh, seventy-five thousand, nine hundred and thirty-seven","one crore,  attention thirty-eight lakh, seventy-five thousand, nine hundred and thirty-seven"
"one crore, forty-two lakh, ninety-eight thousand, one hundred and forty-two","one crore, forty-two lakh, ninety-eight thousand, one hundred ani forty-two"
"one crore, forty-two lakh, ninety-eight thousand, one hundred and forty-two","one crore, forty-two lakh, ninety-eight thousand, one hunderd and forty-two"
"one crore, forty-two lakh, ninety-eight thousand, one hundred and forty-two","one crore, forty-two lakh, ninety-eight thousand, one hundred & forty-two"
"one crore, forty-two lakh, ninety-eight thousand, one hundred and forty-two","one crore, forty-two lakh, ninety-eight thousand, one hundred and fo within rty-two"
"one crore, fifty lakh, forty thousand, seven hundred and forty-six","one crore, fifty lakh, forty thousand, seven hundredaand forty-six"
"one crore, fifty lakh, forty thousand, seven hundred and forty-six","one crore, fifty lakh, forty thousand, seven hundred and forty-sixs"
"one crore, fifty lakh, forty thousand, seven hundred and forty-six","onecrore,fiftylakh,fortythousand,sevenhundredandforty-six"
"one crore, fifty lakh, forty thousand, seven hundred and forty-six"," range one crore, fifty lakh, forty thousand, seven hundred and forty-six"
"one crore, fifty-four lakh, fifty-eight thousand, four hundred and eighty-three","one crore, fifty-four lakh, fifty-eight thousund, four hundred and eighty-three"
"one crore, fifty-four lakh, fifty-eight thousand, four hundred and eighty-three","one crore, fifty-four lakh, fifty-eight thousand, four hundred and eighty-threes"
"one crore, fifty-four lakh, fifty-eight thousand, four hundred and eighty-three","onecrore,fifty-fourlakh,fifty-eightthousand,fourhundredandeighty-three"
"one crore, fifty-four lakh, fifty-eight thousand, four hundred and eighty-three","one crore, fifty-four lakh, fifty-eight thousand, four hundred and eighty-three statement "
"one crore, fifty-seven lakh, fifty-nine thousand, four hundred and twenty-five","one crore, fifty-seven lakh, fifty-nine thousand, eour hundred and twenty-five"
"one crore, fifty-seven lakh, fifty-nine thousand, four hundred and twenty-five","one crore, fifty-seven lakh, fifty-nine thousand, four hundred and twenty-five"
"one crore, fifty-seven lakh, fifty-nine thousand, four hundred and twenty-five","one crore, fifty-seven lakh, fifty-nine thousand, four hundred & twenty-five"
"one crore, fifty-seven lakh, fifty-nine thousand, four hundred and twenty-five","one crore, fifty-seven lakh, fifty-nine thousand, four hundred  life and twenty-five"
"one crore, sixty-six lakh, fifty thousand, three hundred and sixty-five","one crore, sixty-six lakh, fifty th1usand, three hundred and sixty-five"
"one crore, sixty-six lakh, fifty thousand, three hundred and sixty-five","one crore, sixty-six lakh, fifty thousand, three hunderd and sixty-five"
"one crore, sixty-six lakh, fifty thousand, three hundred and sixty-five","one crore, sixty-six lakh, fifty thousand, three hundred & sixty-five"
"one crore, sixty-six lakh, fifty thousand, three hundred and sixty-five","one crore, sixty-six lakh, fifty thousand, three h major undred and sixty-five"
"one crore, seventy-four lakh, seventy thousand, five hundred and seventeen","one crore, seventy-four lakh, seventy thousand, fivo hundred and seventeen"
"one crore, seventy-four lakh, seventy thousand, five hundred and seventeen","one crore, seventy-four lakh, seventy thousand, five hundred and seventeen"
"one crore, seventy-four lakh, seventy thousand, five hundred and seventeen","one crore, seventy-four lakh, seventy thousand, five hundred & seventeen"
"one crore, seventy-four lakh, seventy thousand, five hundred and seventeen","one crore, seventy-four lakh, s dark eventy thousand, five hundred and seventeen"
"one crore, eighty-two lakh, ninety-nine thousand, five hundred and twenty-six","one crore, eighty-two lokh, ninety-nine thousand, five hundred and twenty-six"
"one crore, eighty-two lakh, ninety-nine thousand, five hundred and twenty-six","one crore, eighty-two lakh, ninety-nine thousand, five hundred and twenty-six"
"one crore, eighty-two lakh, ninety-nine thousand, five hundred and twenty-six","onecrore,eighty-twolakh,ninety-ninethousand,fivehundredandtwenty-six"
"one crore, eighty-two lakh, ninety-nine thousand, five hundred and twenty-six","one crore, eighty-two lakh, ninety-nine thousand, five hundred and twe pattern nty-six"
"one crore, eighty-three lakh, eighty-five thousand, nine hundred and fifty-eight","one crore, eighty-three lakh, eighty-five thousand, uine hundred and fifty-eight"
"one crore, eighty-three lakh, eighty-five thousand, nine hundred and fifty-eight","one crore, eighty-three lakh, eighty-five thausand, nine hundred and fifty-eight"
"one crore, eighty-three lakh, eighty-five thousand, nine hundred and fifty-eight","one crore, eighty-three lakh, eighty-five thousand, nine hundred & fifty-eight"
"one crore, eighty-three lakh, eighty-five thousand, nine hundred and fifty-eight","one crore, eighty-three lakh, eighty-five thousan just d, nine hundred and fifty-eight"
"one crore, eighty-four lakh, sixty-six thousand, three hundred and seventy-six","one crore, eighty-four lakh, sixty-sox thousand, three hundred and seventy-six"
"one crore, eighty-four lakh, sixty-six thousand, three hundred and seventy-six","one crore, eighty-four lakh, sixty-six thousand, three hundred and seventy-six"
"one crore, eighty-four lakh, sixty-six thousand, three hundred and seventy-six","onecrore,eighty-fourlakh,sixty-sixthousand,threehundredandseventy-six"
"one crore, eighty-four lakh, sixty-six thousand, three hundred and seventy-six","one crore, eighty include -four lakh, sixty-six thousand, three hundred and seventy-six"
"one crore, eighty-eight lakh, thirty-five thousand, six hundred and thirty-two","one crore,ieighty-eight lakh, thirty-five thousand, six hundred and thirty-two"
"one crore, eighty-eight lakh, thirty-five thousand, six hundred and thirty-two","one crore, eighty-eight lakh, thirty-five thousand, six hundred and thirty-two"
"one crore, eighty-eight lakh, thirty-five thousand, six hundred and thirty-two","one crore, eighty-eight lakh, thirty-five thousand, six hundred & thirty-two"
"one crore, eighty-eight lakh, thirty-five thousand, six hundred and thirty-two","one crore, eighty-eight lakh, thirty-five  thus thousand, six hundred and thirty-two"
"one crore, ninety-three lakh, two thousand, nine hundred and sixty-one","one crore, ninety-three lakh, two thousand, nine handred and sixty-one"
"one crore, ninety-three lakh, two thousand, nine hundred and sixty-one","one crore, ninety-three lakh, two thousand, nine hundred and sixty-ones"
"one crore, ninety-three lakh, two thousand, nine hundred and sixty-one","one crore, ninety-three lakh, two thousand, nine hundred & sixty-one"
"one crore, ninety-three lakh, two thousand, nine hundred and sixty-one","one crore, ninety-three lakh, before  two thousand, nine hundred and sixty-one"
"one crore, ninety-four lakh, nineteen thousand, three hundred","one cuore, ninety-four lakh, nineteen thousand, three hundred"
"one crore, ninety-four lakh, nineteen thousand, three hundred","one crore, ninety-four lakh, nineteen thausand, three hundred"
"one crore, ninety-four lakh, nineteen thousand, three hundred","one crore, ninety-four lakh, nineteen thousand, three hundred"
"one crore, ninety-four lakh, nineteen thousand, three hundred","one crore, particular  ninety-four lakh, nineteen thousand, three hundred"
"one crore, ninety-eight lakh, eighty thousand, eight hundred and twenty-five","one crore, ninety-eight lakh, eighty thousanda eight hundred and twenty-five"
"one crore, ninety-eight lakh, eighty thousand, eight hundred and twenty-five","one crore, ninety-eight lakh, eighty thousand, eight hundred and twenty-five"
"one crore, ninety-eight lakh, eighty thousand, eight hundred and twenty-five","one crore, ninety-eight lakh, eighty thousand, eight hundred & twenty-five"
"one crore, ninety-eight lakh, eighty thousand, eight hundred and twenty-five","one crore,  pattern ninety-eight lakh, eighty thousand, eight hundred and twenty-five"
"two crore, three lakh, thirty-eight thousand, two hundred and eighty-two","two crore, three lakh, thirey-eight thousand, two hundred and eighty-two"
"two crore, three lakh, thirty-eight thousand, two hundred and eighty-two","two crore, three lakh, thirty-eight thousand, two hundred and eighty-two"
"two crore, three lakh, thirty-eight thousand, two hundred and eighty-two","two crore, three lakh, thirty-eight thousand, two hundred & eighty-two"
"two crore, three lakh, thirty-eight thousand, two hundred and eighty-two","two crore almost , three lakh, thirty-eight thousand, two hundred and eighty-two"
"two crore, ten lakh, fifty-eight thousand, six hundred and sixty","two crore, ten lakh, fifty-eight thousand, six h1ndred and sixty"
"two crore, ten lakh, fifty-eight thousand, six hundred and sixty","two crore, ten lakh, fifty-eight thousand, six hunderd and sixty"
"two crore, ten lakh, fifty-eight thousand, six hundred and sixty","twocrore,tenlakh,fifty-eightthousand,sixhundredandsixty"
"two crore, ten lakh, fifty-eight thousand, six hundred and sixty","two crore, ten lakh, fifty-e attack ight thousand, six hundred and sixty"
"two crore, nineteen lakh, seventy-two thousand, three hundred","two crore, nineteen lakh, seventy-two thousand, three hundred"
"two crore, nineteen lakh, seventy-two thousand, three hundred","two crore, nineteen lakh, seventy-two thousand, three hunderd"
"two crore, nineteen lakh, seventy-two thousand, three hundred","twocrore,nineteenlakh,seventy-twothousand,threehundred"
"two crore, nineteen lakh, seventy-two thousand, three hundred","t without wo crore, nineteen lakh, seventy-two thousand, three hundred"
"two crore, twenty-six lakh, thirty-nine thousand, two hundred and twenty-seven","two crore, twenty-six lakh, thirty-nine thousand, awo hundred and twenty-seven"
"two crore, twenty-six lakh, thirty-nine thousand, two hundred and twenty-seven","two crore, twenty-six lakh, thirty-nine thousand, two hundred and twenty-sevens"
"two crore, twenty-six lakh, thirty-nine thousand, two hundred and twenty-seven","two crore, twenty-six lakh, thirty-nine thousand, two hundred & twenty-seven"
"two crore, twenty-six lakh, thirty-nine thousand, two hundred and twenty-seven","two crore, twenty-six lakh, thirty-nine thousand, two hundred myself  and twenty-seven"
"two crore, twenty-nine lakh, seventy-six thousand, six hundred","two irore, twenty-nine lakh, seventy-six thousand, six hundred"
"two crore, twenty-nine lakh, seventy-six thousand, six hundred","two crore, twenty-nine lakh, seventy-six thousand, six hundred"
"two crore, twenty-nine lakh, seventy-six thousand, six hundred","twocrore,twenty-ninelakh,seventy-sixthousand,sixhundred"
"two crore, twenty-nine lakh, seventy-six thousand, six hundred","two crore, twenty-nine lakh, seventy-s town ix thousand, six hundred"
"two crore, thirty-eight lakh, thirty-one thousand, seven hundred and forty-nine","two crore, thirty-eight lakh, thirty-one thousand, seven hundred and forty-iine"
"two crore, thirty-eight lakh, thirty-one thousand, seven hundred and forty-nine","two crore, thirty-eight lakh, thirty-one thousand, seven hunderd and forty-nine"
"two crore, thirty-eight lakh, thirty-one thousand, seven hundred and forty-nine","two crore, thirty-eight lakh, thirty-one thousand, seven hundred & forty-nine"
"two crore, thirty-eight lakh, thirty-one thousand, seven hundred and forty-nine","two crore, thirty-eight lakh, thirty-one thousand,  life seven hundred and forty-nine"
"two crore, forty-eight lakh, twenty thousand and ninety-seven","two crore, forty-eight lakh, twenty thousand and ninety-1even"
"two crore, forty-eight lakh, twenty thousand and ninety-seven","two crore, forty-eight lakh, twenty thausand and ninety-seven"
"two crore, forty-eight lakh, twenty thousand and ninety-seven","twocrore,forty-eightlakh,twentythousandandninety-seven"
"two crore, forty-eight lakh, twenty thousand and ninety-seven","two crore, forty- since eight lakh, twenty thousand and ninety-seven"
"two crore, fifty-five lakh, seventy-three thousand, three hundred and fifty-four","two crore, fifty-five lakh, seuenty-three thousand, three hundred and fifty-four"
"two crore, fifty-five lakh, seventy-three thousand, three hundred and fifty-four","two crore, fifty-five lakh, seventy-three thousand, three hunderd and fifty-four"
"two crore, fifty-five lakh, seventy-three thousand, three hundred and fifty-four","twocrore,fifty-fivelakh,seventy-threethousand,threehundredandfifty-four"
"two crore, fifty-five lakh, seventy-three thousand, three hundred and fifty-four","two crore, fifty-five lakh, seventy-three thousand, three hundred  top and fifty-four"
"two crore, fifty-seven lakh, ninety-eight thousand, two hundred and sixty","0wo crore, fifty-seven lakh, ninety-eight thousand, two hundred and sixty"
"two crore, fifty-seven lakh, ninety-eight thousand, two hundred and sixty","two crore, fifty-seven lakh, ninety-eight thousand, two hunderd and sixty"
"two crore, fifty-seven lakh, ninety-eight thousand, two hundred and sixty","twocrore,fifty-sevenlakh,ninety-eightthousand,twohundredandsixty"
"two crore, fifty-seven lakh, ninety-eight thousand, two hundred and sixty","two crore, f me ifty-seven lakh, ninety-eight thousand, two hundred and sixty"
"two crore, sixty-two lakh, twenty thousand, four hundred and ninety","two crore, sixty-two lakh, twonty thousand, four hundred and ninety"
"two crore, sixty-two lakh, twenty thousand, four hundred and ninety","two crore, sixty-two lakh, twenty thousand, four hunderd and ninety"
"two crore, sixty-two lakh, twenty thousand, four hundred and ninety","twocrore,sixty-twolakh,twentythousand,fourhundredandninety"
"two crore, sixty-two lakh, twenty thousand, four hundred and ninety","two crore, sixty-two lakh be , twenty thousand, four hundred and ninety"
"two crore, sixty-two lakh, forty thousand, seven hundred and nine","two crore, sixty-twoalakh, forty thousand, seven hundred and nine"
"two crore, sixty-two lakh, forty thousand, seven hundred and nine","two crore, sixty-two lakh, forty thousand, seven hundred and nine"
"two crore, sixty-two lakh, forty thousand, seven hundred and nine","two crore, sixty-two lakh, forty thousand, seven hundred & nine"
"two crore, sixty-two lakh, forty thousand, seven hundred and nine","two  concern crore, sixty-two lakh, forty thousand, seven hundred and nine"
"two crore, sixty-five lakh, forty-five thousand, nine hundred and ninety-eight","two crore, sixty-five lakh, forty-five thousand, nine hundred and nonety-eight"
"two crore, sixty-five lakh, forty-five thousand, nine hundred and ninety-eight","two crore, sixty-five lakh, forty-five thousand, nine hundred and ninety-eights"
"two crore, sixty-five lakh, forty-five thousand, nine hundred and ninety-eight","twocrore,sixty-fivelakh,forty-fivethousand,ninehundredandninety-eight"
"two crore, sixty-five lakh, forty-five thousand, nine hundred and ninety-eight","two crore, six turn ty-five lakh, forty-five thousand, nine hundred and ninety-eight"
"two crore, sixty-six lakh, sixty-nine thousand, nine hundred and fourteen","two crore, sixty-six lekh, sixty-nine thousand, nine hundred and fourteen"
"two crore, sixty-six lakh, sixty-nine thousand, nine hundred and fourteen","two crore, sixty-six lakh, sixty-nine thousand, nine hundred and fourteens"
"two crore, sixty-six lakh, sixty-nine thousand, nine hundred and fourteen","two crore, sixty-six lakh, sixty-nine thousand, nine hundred & fourteen"
"two crore, sixty-six lakh, sixty-nine thousand, nine hundred and fourteen","t price wo crore, sixty-six lakh, sixty-nine thousand, nine hundred and fourteen"
"two crore, seventy-six lakh, fifty-two thousand, eight hundred and sixty-eight","two crore, seventy-six lakh, fifty-t0o thousand, eight hundred and sixty-eight"
"two crore, seventy-six lakh, fifty-two thousand, eight hundred and sixty-eight","two crore, seventy-six lakh, fifty-two thausand, eight hundred and sixty-eight"
"two crore, seventy-six lakh, fifty-two thousand, eight hundred and sixty-eight","two crore, seventy-six lakh, fifty-two thousand, eight hundred & sixty-eight"
"two crore, seventy-six lakh, fifty-two thousand, eight hundred and sixty-eight","two crore, seventy-six lakh, fifty-two t baby housand, eight hundred and sixty-eight"
"two crore, eighty-five lakh, ninety-five thousand, seven hundred and eighty-one","two crore, eighty-five uakh, ninety-five thousand, seven hundred and eighty-one"
"two crore, eighty-five lakh, ninety-five thousand, seven hundred and eighty-one","two crore, eighty-five lakh, ninety-five thausand, seven hundred and eighty-one"
